name,current_price,price_change_percentage_24h
Bitcoin,77642,-0.9365
Ethereum,2318.59,-0.42996
Tether,1.0,0.00233
XRP,1.44,-0.18791
BNB,637.63,-0.10765
USDC,0.999841,0.00704
Solana,86.29,0.20841
TRON,0.322802,-1.51615
Figure Heloc,1.026,-0.54526
Dogecoin,0.098608,0.72137
WhiteBIT Coin,54.92,-0.75367
USDS,0.999739,0.00814
Hyperliquid,41.17,-0.36941
LEO Token,10.25,-0.32945
Cardano,0.251233,0.16404
Bitcoin Cash,455.37,-0.96117
Chainlink,9.42,0.77008
Monero,367.94,-2.92636
Zcash,356.77,4.17536
Canton,0.153896,2.5069
Stellar,0.173155,-1.05582
MemeCore,4.41,-5.36341
Dai,0.999622,-0.0027
USD1,0.999904,0.01117
Litecoin,56.63,0.91516
Avalanche,9.43,0.35308
Hedera,0.091019,0.04846
Ethena USDe,0.999349,0.00073
Sui,0.951582,0.06382
Shiba Inu,6.21e-06,0.98969
Rain,0.00753742,0.89995
PayPal USD,0.999774,0.00286
Toncoin,1.34,1.15915
Cronos,0.069656,-0.34529
Circle USYC,1.12,-0.02688
Tether Gold,4694.07,0.40593
World Liberty Financial,0.075671,-2.75503
Global Dollar,0.999781,-0.0202
Bittensor,248.41,-0.75507
BlackRock USD Institutional Digital Liquidity Fund,1.0,0.0
PAX Gold,4699.27,0.43865
Mantle,0.649866,0.37501
Polkadot,1.26,1.35008
Uniswap,3.27,0.23205
Sky,0.083678,-1.04278
NEAR Protocol,1.41,0.25063
Falcon USD,0.997298,0.02062
OKB,83.85,-0.42863
Pi Network,0.170555,0.88759
HTX DAO,1.82e-06,-0.60869
Aster,0.668457,-0.69199
Pepe,3.89e-06,0.83388
Ripple USD,1.0,0.00034
Aave,94.79,-0.15366
Janus Henderson Anemoy Treasury Fund,1.1,0.0
USDD,1.0,0.01846
Bitget Token,1.99,1.68911
Internet Computer,2.46,-0.83827
Ethereum Classic,8.54,0.35517
Ondo US Dollar Yield,1.13,0.7536
BFUSD,0.9998,-0.01998
Ondo,0.263361,-0.31304
KuCoin,8.42,-0.26768
Gate,7.39,0.00215
Morpho,1.84,-1.74272
Quant,72.14,1.09567
Pump.fun,0.00177784,-1.26193
Spiko EU T-Bills Money Market Fund,1.23,0.35423
United Stables,0.999961,0.06912
Superstate Short Duration U.S. Government Securities Fund (USTB),11.06,0.01084
Cosmos Hub,2.01,3.98382
Algorand,0.110517,3.66131
POL (ex-MATIC),0.092491,-1.94586
Ethena,0.1094,-1.26396
Render,1.79,-0.67738
Kaspa,0.03366998,-1.72325
NEXO,0.907064,0.53745
Worldcoin,0.261717,-1.5567
Arbitrum,0.132562,2.84936
Aptos,0.987696,3.55585
Blockchain Capital,82.76,0.0
Filecoin,0.949332,1.74673
​​Stable,0.03248379,-15.49161
Flare,0.0078887,-0.46412
Official Trump,2.9,1.21321
JUST,0.076942,-4.94397
VeChain,0.00732189,1.32343
Midnight,0.03764261,2.31976
Beldex,0.080186,0.17916
Jupiter,0.173522,-0.37394
OUSG,115.03,0.00925
DeXe,12.78,4.07405
XDC Network,0.02995063,0.05802
Provenance Blockchain,0.0103665,-3.22368
USDtb,0.999976,0.03784
GHO,0.999192,0.00842
Bonk,6.35e-06,-0.53851
Usual USD,0.998216,0.00938
YLDS,0.999824,0.01078
Pudgy Penguins,0.00848293,-3.74584
