city,name,address,location_lat,location_lng,phone,rating,reviews,price_level,website,open_now
New York,BMW of Manhattan,"555 W 57th St, New York, NY 10019, USA",40.770578,-73.9908368,(212) 586-2269,4.3,2291,,https://www.bmwnyc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_sales,False
New York,Pep Boys Auto Service & Tires,"38-19 21st St, Long Island City, NY 11101, USA",40.756346,-73.940951,(718) 706-7830,3.7,1846,,https://www.pepboys.com/stores/ny/long-island-city/38-19-21st-steet?Cid=gbp_appt_AN:PB%7CPB:G%7CTT:GBP%7CCG:CONVERSION%7CCD:SERVICE,False
New York,Toyota of Manhattan,"679 11th Ave, New York, NY 10019, USA",40.76508279999999,-73.9954643,(646) 609-9121,4.2,3590,,https://www.toyotaofmanhattan.com/?utm_medium=organic&utm_source=GMBlisting&utm_campaign=toyotasales,False
New York,Cybert Car Care Est. 1916,"545 W 52nd St, New York, NY 10019, USA",40.7669623,-73.9927783,(212) 265-1177,3.9,262,,https://www.cyberttire.com/,False
New York,"Kogeto, LLC","154 Grand St, New York, NY 10013, USA",40.7202344,-73.9986357,(917) 853-7563,,,,,
New York,Jeep of Manhattan,"629 W 54th St, New York, NY 10019, USA",40.7693766,-73.9941771,(855) 559-8653,4.3,767,,https://www.nycjeep.com/,False
New York,Marty's Auto Body,"500 W 25th St, New York, NY 10001, USA",40.7489484,-74.0041852,(212) 255-7654,4.6,259,,https://mautobody.us/,False
New York,Sunoco,"1301 Willow Ave, Hoboken, NJ 07030, USA",40.7530799,-74.0296324,(201) 659-4965,4,93,,https://www.sunoco.com/locations/store/1301-willow-st-hoboken-nj-0272183501,False
New York,Henry Glass & Co,"49 W 37th St #14, New York, NY 10018, USA",40.751512,-73.98548629999999,(800) 294-9495,,,,https://www.henryglassfabrics.net/,
New York,MINI of Manhattan,"555 W 57th St, New York, NY 10019, USA",40.7704561,-73.9903111,(212) 586-2269,4.4,582,,https://www.mininyc.com/?utm_source=Google&utm_medium=Organic&utm_campaign=gbp_sales,False
New York,AUTOTECH COLLISION,"505 W 57th St, New York, NY 10019, USA",40.7697072,-73.98881279999999,(212) 974-0400,4.3,72,,https://autotechny.com/,False
