city,name,address,location_lat,location_lng,phone,rating,reviews,price_level,website,open_now
New York,InterContinental New York Times Square by IHG,"300 W 44th St, New York, NY 10036, USA",40.75866080000001,-73.9893761,(212) 803-4500,4.3,4991,,https://www.ihg.com/intercontinental/hotels/gb/en/new-york/nychc/hoteldetail?cm_mmc=GoogleMaps-_-USA-_-NYCHC,
New York,Vanderbilt YMCA,"224 E 47th St, New York, NY 10017, USA",40.753283,-73.97105549999999,(212) 912-2500,3.4,515,,https://ymcanyc.org/locations/vanderbilt-ymca?utm_source=google&utm_medium=organic&utm_campaign=gbp,True
New York,Equinox Greenwich Avenue,"97 Greenwich Ave, New York, NY 10014, USA",40.7375937,-74.0019133,(212) 620-0103,3.4,211,3,https://www.equinox.com/clubs/new-york/downtown/greenwichave?cid=gmb,True
New York,The Yale Club,"50 Vanderbilt Ave, New York, NY 10017, USA",40.7540226,-73.9774703,(212) 716-2100,4.6,784,,http://www.yaleclubnyc.org/,True
New York,Chelsea Piers Fitness,"60 Chelsea Piers, New York, NY 10011, USA",40.746645,-74.01005700000002,(212) 336-6000,4.3,318,,https://fitness.chelseapiers.com/locations/chelsea-ny?utm_source=Google&utm_medium=Listing&utm_campaign=chelseafitness,True
New York,92NY,"1395 Lexington Ave, New York, NY 10128, USA",40.7829399,-73.95252839999999,(212) 415-5500,4.1,234,,https://www.92ny.org/,True
New York,Russian & Turkish Baths,"268 E 10th St, New York, NY 10009, USA",40.728232,-73.9835859,(212) 674-9250,4.2,717,,http://www.russianturkishbaths.com/,False
New York,Equinox Park Avenue,"1 Park Ave, New York, NY 10016, USA",40.745884,-73.9815067,(212) 779-1727,3.5,111,,https://www.equinox.com/clubs/new-york/midtown/park?cid=gmb,True
New York,CrossFit NYC,"50 W 28th St 2nd floor, New York, NY 10001, USA",40.7457588,-73.99012689999999,(212) 731-2165,4.5,180,,https://crossfitnyc.com/locations/gym-in-flatiron-new-york/,True
New York,Marlene Meyerson JCC Manhattan,"334 Amsterdam Ave at, W 76th St, New York, NY 10023, USA",40.7811304,-73.9802022,(646) 505-4444,4,111,,https://mmjccm.org/,True
New York,Equinox West 50th Street,"1633 Broadway, New York, NY 10019, USA",40.7620853,-73.9846163,(212) 541-7000,3.2,90,3,https://www.equinox.com/clubs/new-york/midtown/west50th?cid=gmb,True
New York,Equinox East 54th Street,"250 E 54th St, New York, NY 10022, USA",40.7575252,-73.9672605,(212) 277-5400,3,92,3,https://www.equinox.com/clubs/new-york/midtown/east54th?cid=gmb,True
New York,West Side YMCA,"5 W 63rd St, New York, NY 10023, USA",40.7708731,-73.9805895,(212) 912-2600,3.5,2387,,https://ymcanyc.org/locations/west-side-ymca?utm_source=google&utm_medium=organic&utm_campaign=gbp,True
New York,Physique 57 Barre 60th & 5th Studio | Upper East Side,"14 E 60th St Suite 1003, New York, NY 10022, USA",40.7643025,-73.9717568,(212) 399-0570,4.8,174,,http://physique57.com/nyc/uptown-barre-studio,False
New York,bodē nyc Flatiron - Original Hot Yoga,"182 5th Ave, New York, NY 10010, USA",40.741313,-73.99001799999999,(212) 288-9642,4.3,240,,http://bodenyc.com/,False
New York,Crunch Fitness - 38th Street,"1385 Broadway, New York, NY 10018, USA",40.7528941,-73.9877224,(212) 869-7788,4.1,298,,https://www.crunch.com/locations/w-38th-st,True
New York,Equinox East 43rd Street,"521 5th Ave, New York, NY 10175, USA",40.7541314,-73.9798826,(212) 972-8000,4,55,,https://www.equinox.com/clubs/new-york/midtown/east43rd?cid=gmb,True
New York,SONIC NYC YOGA,"944 8th Ave, New York, NY 10019, USA",40.7657835,-73.9831889,(212) 397-6344,4.3,130,,http://www.sonicyoga.com/,False
New York,Crunch Fitness - 54th Street,"250 W 54th St, New York, NY 10019, USA",40.7643104,-73.9835317,(212) 307-7760,3.9,404,,https://www.crunch.com/locations/w-54th-st,True
New York,New York Budo Association,"Joffery Ballet Studios, 434 6th Ave 3rd Floor, New York, NY 10010, USA",40.7345839,-73.99862949999999,,5,43,,http://newyorkbudoassociation.org/,False
New York,Asphalt Green - Upper East Side campus,"555 E 90th St, New York, NY 10128, USA",40.7791021,-73.9440973,(212) 369-8890,4,259,,http://www.asphaltgreen.org/,True
New York,Equinox SoHo,"69 Prince St, New York, NY 10012, USA",40.7240841,-73.9970289,(212) 334-4631,3.5,171,,https://www.equinox.com/clubs/new-york/downtown/soho?cid=gmb,True
New York,Chelsea Recreation Center,"430 W 25th St, New York, NY 10001, USA",40.74826849999999,-74.00206469999999,(212) 255-3705,4.1,190,,http://www.nycgovparks.org/facilities/recreationcenters/M260,False
New York,Planet Fitness,"423 W 55th St, New York, NY 10019, USA",40.76735,-73.98776,(212) 336-0750,3.9,1191,,https://www.planetfitness.com/gyms/manhattan-midtown-west-ny?utm_medium=organic&utm_source=extnet,True
New York,Integral Yoga Institute,"227 W 13th St, New York, NY 10011, USA",40.7385123,-74.00141769999999,(212) 929-0585,4.8,93,,https://iyiny.org/,False
New York,Fyra Yoga,"434 6th Ave #2, New York, NY 10011, USA",40.73453000000001,-73.99864099999999,(212) 780-9642,4.6,236,,http://www.fyrayoga.com/,True
New York,Crunch Fitness - 59th Street,"1109 2nd Ave, New York, NY 10022, USA",40.76045,-73.9647447,(212) 758-3434,3.9,327,,https://www.crunch.com/locations/e-59th-st,True
New York,The 14th Street Y,"344 E 14th St, New York, NY 10003, USA",40.7313444,-73.9832545,(212) 780-0800,4.3,317,,http://www.14streety.org/,True
New York,David Barton Gym,"4 Astor Pl, New York, NY 10003, USA",40.7298469,-73.9924724,(212) 505-6800,3.6,22,,,
New York,Equinox Sports Club New York,"160 Columbus Ave, New York, NY 10023, USA",40.7745008,-73.9812756,(212) 362-6800,3.4,267,,https://www.equinox.com/clubs/new-york/uptown/sportsclubnewyork?cid=gmb,True
