city,name,address,location_lat,location_lng,phone,rating,reviews,price_level,website,open_now
New York,Club Wyndham Midtown 45,"205 E 45th St, New York, NY 10017, USA",40.7526556,-73.9724804,(212) 867-5100,4.4,2583,,https://www.extraholidays.com/new-york-city-new-york/wyndham-midtown-45-at-new-york-city?utm_medium=listing&utm_source=google-local&utm_campaign=na_gmb_na_locallisting_na_allusers&utm_content=cwmidtown45,True
New York,21 Chelsea,"120 W 21st St, New York, NY 10011, USA",40.7419719,-73.9948412,(332) 258-7385,4.8,119,,http://www.udr.com/new-york-city-apartments/chelsea/21-chelsea/,False
New York,The Biltmore,"271 W 47th St, New York, NY 10036, USA",40.7603754,-73.98700629999999,(332) 281-6209,3.4,162,,https://www.thebiltmoreny.com/?utm_source=gmb&utm_medium=organic,False
New York,Along The High Line,"519 W 23rd St, New York, NY 10011, USA",40.7482615,-74.0047579,(646) 242-5651,4.9,14,,,
New York,The Olivia,"315 W 33rd St, New York, NY 10001, USA",40.75174579999999,-73.99456839999999,(212) 967-8047,3.1,119,,https://theolivianyc.com/,False
New York,Alternative Business Accommodations,"1650 Broadway, New York, NY 10019, USA",40.7617748,-73.9833203,(212) 445-0494,4.3,3,,http://www.tempapts.com/,False
New York,4705 Center Boulevard Apartments by Rockrose,"47-05 Center Blvd, Long Island City, NY 11109, USA",40.7458234,-73.9565458,(718) 606-1879,3.1,72,,https://rockrose.com/building/4705-center-boulevard/,False
New York,New York Habitat VLF Inc,"307 7th Ave #306, New York, NY 10001, USA",40.7469079,-73.99307569999999,(212) 255-8018,4.3,158,,https://www.nyhabitat.com/,False
New York,Rcs Real Estate Advisors,"470 7th Ave, New York, NY 10018, USA",40.7520018,-73.9903349,(212) 239-1100,5,2,,https://www.rcsrealestate.com/,False
New York,Wasser Realty,"111 8th Ave, New York, NY 10011, USA",40.7409086,-74.0019214,(212) 675-2262,,,,https://www.jwasser.com/,
New York,Boston Properties,"5 Times Sq, New York, NY 10036, USA",40.7558631,-73.98753180000001,(212) 391-8630,,,,,
New York,Stahl Real Estate,"277 Park Ave #47, New York, NY 10172, USA",40.7554575,-73.9740788,(212) 826-7060,5,1,,,
New York,Taconic Management Co,"111 8th Ave, New York, NY 10011, USA",40.7411824,-74.00203309999999,(212) 220-9945,3,6,,https://taconicpartners.com/,False
New York,Hq Business Center,"1230 6th Ave, New York, NY 10020, USA",40.7588271,-73.9808139,(212) 333-8700,5,1,,,
New York,Prudential Real Estate Investors,"680 5th Ave #20, New York, NY 10019, USA",40.760978,-73.975909,(212) 515-8100,4.5,2,,http://www.prei.prudential.com/,
New York,Tishman Speyer,"666 5th Ave, New York, NY 10103, USA",40.7603744,-73.976677,(212) 582-4558,,,,http://www.tishmanspeyer.com/,
