camis,dba,boro,building,street,zipcode,phone,inspection_date,critical_flag,record_date,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,location,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,cuisine_description,action,violation_code,violation_description,score,grade,grade_date,inspection_type
50168865,BAR SOCIETY,Brooklyn,3015,STILLWELL AVENUE,11224,3472439527,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.575158001859,-73.981119614124,313,47,035200,3245141,3086940419,BK21,"{'type': 'Point', 'coordinates': [-73.981119614124, 40.575158001859]}",21,2,35,45,,,,,,,,
50166387,HOLY COW BURGERS,Queens,23-14,36 AVENUE,11106,9173060508,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.758936754401,-73.934805881876,401,26,003300,4004237,4003460018,QN68,"{'type': 'Point', 'coordinates': [-73.934805881876, 40.758936754401]}",39,3,72,33,,,,,,,,
50146907,"GO NEW YORK TOURS, INC",Manhattan,307,WEST   38 STREET,10018,6468530403,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.754939423312,-73.992174723398,104,03,011500,1013643,1007627503,MN15,"{'type': 'Point', 'coordinates': [-73.992174723398, 40.754939423312]}",12,4,8,10,,,,,,,,
50185162,DUNKIN',0,N/A,N/A,,6463895712,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,,,,,,,,,,,,,,,,,,,,,
50172715,"YUMMY LU ZHI, INC.",Queens,136-21,ROOSEVELT AVENUE,11354,6468674542,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.759791642744,-73.829242612573,407,20,087100,4112492,4049800011,QN22,"{'type': 'Point', 'coordinates': [-73.829242612573, 40.759791642744]}",22,3,67,3,,,,,,,,
50150868,MAGNOLIA BAKERY,Queens,,"TERMINAL C, CONCOURSE D",11371,2159970667,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,,,,,,,,,,,,,,,,,,,,,
50180735,TEX MEX RESTAURANT,Bronx,2325,WESTCHESTER AVENUE,10462,7188292518,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.835948818963,-73.847693927083,210,18,020601,2041563,2039690001,BX59,"{'type': 'Point', 'coordinates': [-73.847693927083, 40.835948818963]}",43,5,28,31,,,,,,,,
50182281,HIGH BEAM COFFEE,Brooklyn,398,COURT STREET,11231,5182212245,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.680655246924,-73.996729894238,306,39,006500,3004971,3003560032,BK33,"{'type': 'Point', 'coordinates': [-73.996729894238, 40.680655246924]}",14,2,48,27,,,,,,,,
50182564,CONTRASTO,Brooklyn,82,DOBBIN STREET,11222,6462463525,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.724924893578,-73.954447750647,301,33,056100,3065518,3026170038,BK76,"{'type': 'Point', 'coordinates': [-73.954447750647, 40.724924893578]}",36,2,57,38,,,,,,,,
50120090,ELYSIUM RESTAURANT & LOUNGE,Bronx,4371,3 AVENUE,10457,3477925571,1900-01-01T00:00:00.000,Not Applicable,2026-05-07T06:00:17.000,40.850471325283,-73.894213659969,206,15,039500,2011468,2030450034,BX01,"{'type': 'Point', 'coordinates': [-73.894213659969, 40.850471325283]}",35,5,31,22,,,,,,,,
