title,rating,director,rank,quote
肖申克的救赎,9.7,导演: 弗兰克·德拉邦特 Frank Darabont,1,希望让人自由。
霸王别姬,9.6,导演: 陈凯歌 Kaige Chen,2,风华绝代。
泰坦尼克号,9.5,导演: 詹姆斯·卡梅隆 James Cameron,3,失去的才是永恒的。 
阿甘正传,9.5,导演: 罗伯特·泽米吉斯 Robert Zemeckis,4,一部美国近现代史。
千与千寻,9.4,导演: 宫崎骏 Hayao Miyazaki,5,最好的宫崎骏，最好的久石让。 
美丽人生,9.5,导演: 罗伯托·贝尼尼 Roberto Benigni,6,最美的谎言。
星际穿越,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan,7,爱是一种力量，让我们超越时空感知它的存在。
这个杀手不太冷,9.4,导演: 吕克·贝松 Luc Besson,8,怪蜀黍和小萝莉不得不说的故事。
盗梦空间,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan,9,诺兰给了我们一场无法盗取的梦。
楚门的世界,9.4,导演: 彼得·威尔 Peter Weir,10,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,9.5,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,11,拯救一个人，就是拯救整个世界。
忠犬八公的故事,9.4,导演: 莱塞·霍尔斯道姆 Lasse Hallström,12,永远都不能忘记你所爱的人。
海上钢琴师,9.3,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,13,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
疯狂动物城,9.3,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,14,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
三傻大闹宝莱坞,9.2,导演: 拉库马·希拉尼 Rajkumar Hirani,15,英俊版憨豆，高情商版谢耳朵。
机器人总动员,9.3,导演: 安德鲁·斯坦顿 Andrew Stanton,16,小瓦力，大人生。
放牛班的春天,9.3,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,17,天籁一般的童声，是最接近上帝的存在。 
无间道,9.3,导演: 刘伟强 / 麦兆辉,18,香港电影史上永不过时的杰作。
控方证人,9.6,导演: 比利·怀尔德 Billy Wilder,19,比利·怀德满分作品。
寻梦环游记,9.1,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,20,死亡不是真的逝去，遗忘才是永恒的消亡。
大话西游之大圣娶亲,9.2,导演: 刘镇伟 Jeffrey Lau,21,一生所爱。
熔炉,9.3,导演: 黄东赫 Dong-hyuk Hwang,22,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
触不可及,9.3,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,23,满满温情的高雅喜剧。
教父,9.3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,24,千万不要记恨你的对手，这样会让你失去理智。
末代皇帝,9.3,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci,25,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
哈利·波特与魔法石,9.2,导演: Chris Columbus,26,童话世界的开端。
当幸福来敲门,9.1,导演: 加布里尔·穆奇诺 Gabriele Muccino,27,平民励志片。 
龙猫,9.2,导演: 宫崎骏 Hayao Miyazaki,28,人人心中都有个龙猫，童年就永远不会消失。
活着,9.3,导演: 张艺谋 Yimou Zhang,29,张艺谋最好的电影。
怦然心动,9.1,导演: 罗伯·莱纳 Rob Reiner,30,真正的幸福是来自内心深处。
蝙蝠侠：黑暗骑士,9.2,导演: 克里斯托弗·诺兰 Christopher Nolan,31,无尽的黑暗。
指环王3：王者无敌,9.3,导演: 彼得·杰克逊 Peter Jackson,32,史诗的终章。
我不是药神,9.0,导演: 文牧野 Muye Wen,33,对我们国家而言，这样的电影多一部是一部。
乱世佳人,9.3,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,34,Tomorrow is another day.
飞屋环游记,9.1,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,35,最后那些最无聊的事情，才是最值得怀念的。 
让子弹飞,9.0,导演: 姜文 Wen Jiang,36,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,9.1,导演: 宫崎骏 Hayao Miyazaki,37,带着心爱的人在天空飞翔。
十二怒汉,9.4,导演: 西德尼·吕美特 Sidney Lumet,38,1957年的理想主义。 
海蒂和爷爷,9.3,导演: 阿兰·葛斯彭纳 Alain Gsponer,39,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
素媛,9.3,导演: 李濬益 Jun-ik Lee,40,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
猫鼠游戏,9.1,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,41,骗子大师和执著警探的你追我跑故事。 
天空之城,9.2,导演: 宫崎骏 Hayao Miyazaki,42,对天空的追逐，永不停止。 
鬼子来了,9.3,导演: 姜文 Wen Jiang,43,对敌人的仁慈，就是对自己残忍。
摔跤吧！爸爸,9.0,导演: 涅提·蒂瓦里 Nitesh Tiwari,44,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
少年派的奇幻漂流,9.1,导演: 李安 Ang Lee,45,瑰丽壮观、无人能及的冒险之旅。
钢琴家,9.3,导演: 罗曼·波兰斯基 Roman Polanski,46,
指环王2：双塔奇兵,9.2,导演: 彼得·杰克逊 Peter Jackson,47,承前启后的史诗篇章。
死亡诗社,9.2,导演: 彼得·威尔 Peter Weir,48,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
大话西游之月光宝盒,9.0,导演: 刘镇伟 Jeffrey Lau,49,
绿皮书,8.9,导演: 彼得·法雷里 Peter Farrelly,50,去除成见，需要勇气。
何以为家,9.1,导演: 娜丁·拉巴基 Nadine Labaki,51,凝视卑弱生命，用电影改变命运。
闻香识女人,9.1,导演: 马丁·布莱斯 Martin Brest,52,
大闹天宫,9.4,导演: 万籁鸣 Laiming Wan,53,
黑客帝国,9.1,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,54,
指环王1：护戒使者,9.1,导演: 彼得·杰克逊 Peter Jackson,55,
罗马假日,9.1,导演: 威廉·惠勒 William Wyler,56,
教父2,9.3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,57,
狮子王,9.1,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff,58,
天堂电影院,9.2,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,59,
饮食男女,9.2,导演: 李安 Ang Lee,60,
辩护人,9.2,导演: 杨宇硕 Woo-seok Yang,61,电影的现实意义大过电影本身。
本杰明·巴顿奇事,9.0,导演: 大卫·芬奇 David Fincher,62,在时间之河里感受溺水之苦。
搏击俱乐部,9.0,导演: 大卫·芬奇 David Fincher,63,
美丽心灵,9.1,导演: 朗·霍华德 Ron Howard,64,
穿条纹睡衣的男孩,9.2,导演: 马克·赫尔曼 Mark Herman,65,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
哈利·波特与死亡圣器(下),9.0,导演: 大卫·叶茨 David Yates,66,10年的完美句点。
情书,8.9,导演: 岩井俊二 Shunji Iwai,67,
两杆大烟枪,9.1,导演: 盖·里奇 Guy Ritchie,68,
窃听风暴,9.2,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,69,别样人生。
音乐之声,9.1,导演: 罗伯特·怀斯 Robert Wise,70,
功夫,8.9,导演: 周星驰 Stephen Chow,71,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
哈利·波特与阿兹卡班的囚徒,9.0,导演: 阿方索·卡隆 Alfonso Cuarón,72,不一样的导演，不一样的哈利·波特。
阿凡达,8.8,导演: 詹姆斯·卡梅隆 James Cameron,73,绝对意义上的美轮美奂。
西西里的美丽传说,8.9,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,74,
看不见的客人,8.8,导演: 奥里奥尔·保罗 Oriol Paulo,75,你以为你以为的就是你以为的。
拯救大兵瑞恩,9.1,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,76,
沉默的羔羊,8.9,导演: 乔纳森·戴米 Jonathan Demme,77,
小鞋子,9.2,导演: 马基德·马基迪 Majid Majidi,78,
布达佩斯大饭店,8.9,导演: 韦斯·安德森 Wes Anderson,79,小清新的故事里注入了大历史的情怀。
蝴蝶效应,8.9,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,80,人的命运被自己瞬间的抉择改变。
飞越疯人院,9.1,导演: 米洛斯·福尔曼 Miloš Forman,81,
还有明天,9.3,导演: 宝拉·柯特莱西 Paola Cortellesi,82,
禁闭岛,8.9,导演: Martin Scorsese,83,昔日翩翩少年，今日大腹便便。
心灵捕手,9.0,导演: 格斯·范·桑特 Gus Van Sant,84,
致命魔术,8.9,导演: 克里斯托弗·诺兰 Christopher Nolan,85,孪生蝙蝠侠大战克隆金刚狼。
低俗小说,8.9,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,86,
哈利·波特与密室,8.9,导演: Chris Columbus,87,
超脱,9.0,导演: 托尼·凯耶 Tony Kaye,88,穷尽一生，我们要学会的，不过是彼此拥抱。
一一,9.1,导演: 杨德昌 Edward Yang,89,
喜剧之王,8.8,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee,90,
杀人回忆,8.9,导演: 奉俊昊 Joon-ho Bong,91,
致命ID,8.9,导演: 詹姆斯·曼高德 James Mangold,92,
摩登时代,9.3,导演: 查理·卓别林 Charles Chaplin,93,
春光乍泄,9.0,导演: 王家卫 Kar Wai Wong,94,
加勒比海盗,8.8,导演: 戈尔·维宾斯基 Gore Verbinski,95,
海豚湾,9.3,导演: 路易·西霍尤斯 Louie Psihoyos,96,海豚的微笑，是世界上最高明的伪装。
美国往事,9.1,导演: 赛尔乔·莱翁内 Sergio Leone,97,
红辣椒,9.0,导演: 今敏 Satoshi Kon,98,梦的勾结。
七宗罪,8.8,导演: 大卫·芬奇 David Fincher,99,
唐伯虎点秋香,8.8,导演: 李力持 Lik-Chi Lee,100,
狩猎,9.1,导演: 托马斯·温特伯格 Thomas Vinterberg,101,人言可畏。
幽灵公主,8.9,导演: 宫崎骏 Hayao Miyazaki,102,
甜蜜蜜,8.9,导演: 陈可辛 Peter Chan,103,
寄生虫,8.8,导演: 奉俊昊 Joon-ho Bong,104,
天书奇谭,9.2,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian,105,
蝙蝠侠：黑暗骑士崛起,8.9,导演: 克里斯托弗·诺兰 Christopher Nolan,106,诺兰就是保证。
超能陆战队,8.8,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,107,Balalala~~~
7号房的礼物,8.9,导演: 李焕庆 Hwan-kyeong Lee,108,《我是山姆》的《美丽人生》。
第六感,8.9,导演: M·奈特·沙马兰 M. Night Shyamalan,109,
茶馆,9.5,导演: 谢添 Tian Xie,110,
爱在黎明破晓前,8.8,导演: 理查德·林克莱特 Richard Linklater,111,
